2019-11-27 16:02:56.609 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 46.1085 ms
2019-11-27 16:02:56.618 +02:00 [INF] HTTP GET /notification?id=VJ3ncoZyXP5aVcPbDDDSlA responded 101 in 1362.2172 ms
2019-11-27 16:02:57.596 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8342 ms
2019-11-27 16:02:57.679 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.7889 ms
2019-11-27 16:02:57.769 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8083 ms
2019-11-27 16:02:58.579 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 61.3031 ms
2019-11-27 16:02:58.590 +02:00 [INF] HTTP GET /notification?id=z5IHPmHObom0JuqkJRLCQg responded 101 in 927.0764 ms
2019-11-27 16:02:58.885 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5526 ms
2019-11-27 16:02:58.991 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 3.2349 ms
2019-11-27 16:02:59.000 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8168 ms
2019-11-27 16:03:01.161 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 61.7821 ms
2019-11-27 16:03:01.171 +02:00 [INF] HTTP GET /notification?id=XQAT_s6q-1kBXPpspKbsBA responded 101 in 2257.6742 ms
2019-11-27 16:03:01.648 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 3.6868 ms
2019-11-27 16:03:01.689 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.0521 ms
2019-11-27 16:03:04.205 +02:00 [INF] HTTP GET / responded 302 in 2.4519 ms
2019-11-27 16:03:04.228 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 12.8217 ms
2019-11-27 16:03:04.671 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6729 ms
2019-11-27 16:03:04.693 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.8981 ms
2019-11-27 16:03:04.718 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.8954 ms
2019-11-27 16:05:02.558 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=InvalidApplication responded 200 in 50.9643 ms
2019-11-27 16:05:02.632 +02:00 [INF] HTTP GET /notification?id=sGg9s75OBn47dSq9wAHZow responded 101 in 117940.2909 ms
